id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Cathedral Dawn,Aster Quartet,classical,serene,0.22,64,0.58,0.21,0.97
12,Street Cipher,Night Script,hip hop,confident,0.74,96,0.62,0.83,0.14
13,Iron Horizon,Forge Anthem,metal,aggressive,0.97,168,0.34,0.49,0.03
14,Island Lanterns,Solar Tide,reggae,uplifted,0.61,88,0.79,0.77,0.43
15,Dusty Postcard,Maple Trail,country,nostalgic,0.46,102,0.68,0.57,0.72
16,Neon Summit,Prism Volt,edm,euphoric,0.95,128,0.86,0.91,0.06
17,Blue Hour Steps,River Brass,blues,somber,0.33,74,0.29,0.38,0.81
18,Barrio Moonlight,Calor Norte,latin,festive,0.84,116,0.88,0.89,0.24
